Time_Step,Exit3_Mean,Exit3_SD,Exit4_Mean,Exit4_SD,Exit_flow3_Mean,Exit_flow3_SD,Exit_flow4_Mean,Exit_flow4_SD
241,6.6,2.0603150145508513,6.38,1.8057730551015019,0.06,0.2398979374820953,0.02,0.14142135623730948
242,6.64,2.047995535709421,6.4,1.8182745801939795,0.04,0.19794866372215747,0.02,0.1414213562373094
243,6.64,2.047995535709421,6.4,1.8182745801939795,0.0,0.0,0.0,0.0
244,6.66,2.056448295444535,6.42,1.796709009635707,0.02,0.14142135623730942,0.02,0.14142135623730948
245,6.66,2.056448295444535,6.42,1.796709009635707,0.0,0.0,0.0,0.0
246,6.66,2.056448295444535,6.44,1.7975039382886664,0.0,0.0,0.02,0.1414213562373095
247,6.68,2.0547605252988803,6.46,1.7980715293029352,0.02,0.14142135623730948,0.02,0.14142135623730942
248,6.72,2.0804238186740025,6.46,1.7980715293029352,0.04,0.19794866372215744,0.0,0.0
249,6.76,2.046001575996361,6.46,1.7980715293029352,0.04,0.1979486637221575,0.0,0.0
250,6.8,2.060315014550851,6.46,1.7980715293029352,0.04,0.19794866372215741,0.0,0.0
251,6.8,2.060315014550851,6.48,1.8209663279003645,0.0,0.0,0.02,0.14142135623730945
252,6.8,2.060315014550851,6.5,1.8433554143662771,0.0,0.0,0.02,0.1414213562373094
253,6.8,2.060315014550851,6.54,1.8318051763442622,0.0,0.0,0.04,0.19794866372215747
254,6.8,2.060315014550851,6.58,1.8304677666918798,0.0,0.0,0.04,0.1979486637221575
255,6.8,2.060315014550851,6.64,1.8926280184776227,0.0,0.0,0.06,0.2398979374820953
256,6.8,2.060315014550851,6.64,1.8926280184776227,0.0,0.0,0.0,0.0
257,6.82,2.0572420611000504,6.66,1.880186703712247,0.02,0.14142135623730942,0.02,0.14142135623730948
258,6.84,2.09333246674448,6.68,1.8999462935481481,0.02,0.14142135623730948,0.02,0.14142135623730934
259,6.84,2.09333246674448,6.72,1.85208101378764,0.0,0.0,0.04,0.19794866372215741
260,6.84,2.09333246674448,6.74,1.8495448971383777,0.0,0.0,0.02,0.1414213562373095
261,6.86,2.099659836395274,6.76,1.8245491475530973,0.02,0.14142135623730948,0.02,0.14142135623730948
262,6.86,2.099659836395274,6.78,1.8215266080058965,0.0,0.0,0.02,0.14142135623730945
263,6.86,2.099659836395274,6.78,1.8215266080058965,0.0,0.0,0.0,0.0
264,6.86,2.099659836395274,6.78,1.8215266080058965,0.0,0.0,0.0,0.0
265,6.86,2.099659836395274,6.78,1.8215266080058965,0.0,0.0,0.0,0.0
266,6.88,2.115443698332888,6.84,1.833475566529651,0.02,0.14142135623730942,0.06,0.2398979374820953
267,6.9,2.0922597879824014,6.84,1.833475566529651,0.02,0.1414213562373094,0.0,0.0
268,6.9,2.0922597879824014,6.84,1.833475566529651,0.0,0.0,0.0,0.0
269,6.92,2.088256767385327,6.86,1.807128740769258,0.02,0.14142135623730945,0.02,0.14142135623730945
270,6.94,2.093819866333554,6.9,1.821078397711709,0.02,0.14142135623730948,0.04,0.19794866372215744
271,6.98,2.0453032308492674,6.9,1.821078397711709,0.04,0.1979486637221575,0.0,0.0
272,6.98,2.0453032308492674,6.9,1.821078397711709,0.0,0.0,0.0,0.0
273,7.0,2.0503857277724746,6.94,1.8451259566540077,0.02,0.1414213562373094,0.04,0.1979486637221575
274,7.02,2.055257072157413,6.94,1.8451259566540077,0.02,0.14142135623730948,0.0,0.0
275,7.04,2.02997939066647,6.94,1.8451259566540077,0.02,0.14142135623730945,0.0,0.0
276,7.04,2.02997939066647,6.94,1.8451259566540077,0.0,0.0,0.0,0.0
277,7.06,2.004179306818018,6.98,1.8125413436523266,0.02,0.14142135623730945,0.04,0.19794866372215747
278,7.06,2.004179306818018,6.98,1.8125413436523266,0.0,0.0,0.0,0.0
279,7.08,2.008553139522506,7.0,1.7612611437054218,0.02,0.1414213562373095,0.02,0.14142135623730942
280,7.08,2.008553139522506,7.02,1.731932976975349,0.0,0.0,0.02,0.14142135623730934
281,7.08,2.008553139522506,7.02,1.731932976975349,0.0,0.0,0.0,0.0
282,7.08,2.008553139522506,7.1,1.729102633844315,0.0,0.0,0.08,0.2740475156178697
283,7.1,2.0127146862293386,7.12,1.75708478417392,0.02,0.14142135623730942,0.02,0.14142135623730945
284,7.12,2.0267597543963656,7.12,1.75708478417392,0.02,0.14142135623730948,0.0,0.0
285,7.12,2.0267597543963656,7.14,1.772925634684785,0.0,0.0,0.02,0.14142135623730948
286,7.12,2.0267597543963656,7.16,1.7538296289397495,0.0,0.0,0.02,0.14142135623730936
287,7.12,2.0267597543963656,7.18,1.792159796082335,0.0,0.0,0.02,0.14142135623730934
288,7.14,2.020406101833621,7.22,1.7761457928759736,0.02,0.14142135623730936,0.04,0.19794866372215744
